Experiment Accession	Peak Accession	Biosample	Target	Lab	RFA
ENCSR346BOD	ENCFF726SWQ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TCF7L2	TCF7L2	"Richard Myers, HAIB"	ENCODE4
ENCSR352RXE	ENCFF934PLP	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOXK1	FOXK1	"Richard Myers, HAIB"	ENCODE4
ENCSR706VOO	ENCFF567HPV	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens GATA2	GATA2	"Richard Myers, HAIB"	ENCODE4
ENCSR479RZV	ENCFF951CCL	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens CBFB	CBFB	"Richard Myers, HAIB"	ENCODE4
ENCSR625ZVM	ENCFF018TNP	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens PRMT5	PRMT5	"Richard Myers, HAIB"	ENCODE4
ENCSR388ZRV	ENCFF080KWE	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF311	ZNF311	"Michael Snyder, Stanford"	ENCODE4
ENCSR712KVZ	ENCFF265MQC	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF324	ZNF324	"Michael Snyder, Stanford"	ENCODE4
ENCSR783EPA	ENCFF927NEU	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens TBPL1	TBPL1	"Michael Snyder, Stanford"	ENCODE4
ENCSR655QNQ	ENCFF525SCQ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens REXO4	REXO4	"Richard Myers, HAIB"	ENCODE4
ENCSR369TCR	ENCFF623DVC	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF331	ZNF331	"Richard Myers, HAIB"	ENCODE4
ENCSR048WVW	ENCFF236CPT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF367	ZNF367	"Richard Myers, HAIB"	ENCODE4
ENCSR873LYH	ENCFF171ZNN	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MLX	MLX	"Michael Snyder, Stanford"	ENCODE4
ENCSR891KNP	ENCFF290UUF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF30	ZNF30	"Richard Myers, HAIB"	ENCODE4
ENCSR498TWD	ENCFF976LBY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MAF1	MAF1	"Richard Myers, HAIB"	ENCODE4
ENCSR052FXA	ENCFF135VAJ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF33B	ZNF33B	"Richard Myers, HAIB"	ENCODE4
ENCSR700PNE	ENCFF341OLL	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MAZ	MAZ	"Richard Myers, HAIB"	ENCODE4
ENCSR251XFX	ENCFF598CBU	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens DMTF1	DMTF1	"Richard Myers, HAIB"	ENCODE4
ENCSR946WBN	ENCFF865UPM	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens JUN	JUN	"Richard Myers, HAIB"	ENCODE4
ENCSR901VIE	ENCFF044IDV	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens TFDP1	TFDP1	"Richard Myers, HAIB"	ENCODE4
ENCSR039CUX	ENCFF991XSG	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens PLSCR1	PLSCR1	"Richard Myers, HAIB"	ENCODE4
ENCSR228ZYW	ENCFF861MUF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens STAT6	STAT6	"Richard Myers, HAIB"	ENCODE4
ENCSR625XAV	ENCFF421QJP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB8A	ZBTB8A	"Richard Myers, HAIB"	ENCODE4
ENCSR181ELQ	ENCFF581WFU	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens OVOL2	OVOL2	"Michael Snyder, Stanford"	ENCODE4
ENCSR417EWD	ENCFF953FNE	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens FUBP3	FUBP3	"Richard Myers, HAIB"	ENCODE4
ENCSR214PDW	ENCFF794OSY	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF780A	ZNF780A	"Michael Snyder, Stanford"	ENCODE4
ENCSR711KBM	ENCFF409PJJ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF12	ZNF12	"Richard Myers, HAIB"	ENCODE4
ENCSR032LZZ	ENCFF361PBY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF362	ZNF362	"Richard Myers, HAIB"	ENCODE4
ENCSR436RQS	ENCFF535BYF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF577	ZNF577	"Richard Myers, HAIB"	ENCODE4
ENCSR647PSR	ENCFF581GZR	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF687	ZNF687	"Richard Myers, HAIB"	ENCODE4
ENCSR016OHL	ENCFF865WCB	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF317	ZNF317	"Richard Myers, HAIB"	ENCODE4
ENCSR258PSN	ENCFF645OCW	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF639	ZNF639	"Richard Myers, HAIB"	ENCODE4
ENCSR599XKG	ENCFF305WWR	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HMGXB4	HMGXB4	"Richard Myers, HAIB"	ENCODE4
ENCSR637RKG	ENCFF992LDJ	Homo sapiens A549 genetically modified (insertion) using CRISPR targeting H. sapiens PBX1	PBX1	"Michael Snyder, Stanford"	ENCODE4
ENCSR031WWM	ENCFF288BSV	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TERF1	TERF1	"Richard Myers, HAIB"	ENCODE4
ENCSR945QEW	ENCFF604THW	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF121	ZNF121	"Richard Myers, HAIB"	ENCODE4
ENCSR236JZN	ENCFF887ZDT	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF586	ZNF586	"Michael Snyder, Stanford"	ENCODE4
ENCSR985OYK	ENCFF227HVU	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB11	ZBTB11	"Michael Snyder, Stanford"	ENCODE4
ENCSR633HRJ	ENCFF767MSS	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HNF1A	HNF1A	"Richard Myers, HAIB"	ENCODE4
ENCSR583KLD	ENCFF475HLY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TEF	TEF	"Richard Myers, HAIB"	ENCODE4
ENCSR882YYL	ENCFF189PKJ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF883	ZNF883	"Richard Myers, HAIB"	ENCODE4
ENCSR117XJA	ENCFF016EAV	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF790	ZNF790	"Richard Myers, HAIB"	ENCODE4
ENCSR187RGF	ENCFF493LZB	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF695	ZNF695	"Michael Snyder, Stanford"	ENCODE4
ENCSR946BKU	ENCFF216ISR	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens NR1H2	NR1H2	"Richard Myers, HAIB"	ENCODE4
ENCSR008DOU	ENCFF656THP	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens SNAPC5	SNAPC5	"Michael Snyder, Stanford"	ENCODE4
ENCSR972CVS	ENCFF198NGY	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ELK3	ELK3	"Michael Snyder, Stanford"	ENCODE4
ENCSR422VAG	ENCFF896PGF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZSCAN29	ZSCAN29	"Richard Myers, HAIB"	ENCODE4
ENCSR505LJT	ENCFF743AUT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZFP37	ZFP37	"Richard Myers, HAIB"	ENCODE4
ENCSR803FIV	ENCFF519ZDH	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens MXD4	MXD4	"Michael Snyder, Stanford"	ENCODE4
ENCSR850YDX	ENCFF406UND	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB7A	ZBTB7A	"Richard Myers, HAIB"	ENCODE4
ENCSR427WZJ	ENCFF596HNP	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF143	ZNF143	"Richard Myers, HAIB"	ENCODE4
ENCSR754GYI	ENCFF569KYV	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens BNC2 treated with 6 ?M all-trans-retinoic acid for 48 hours	BNC2	"Michael Snyder, Stanford"	ENCODE4
ENCSR934WOF	ENCFF464BVI	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens TEAD1	TEAD1	"Richard Myers, HAIB"	ENCODE4
ENCSR303SHG	ENCFF854SNX	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF699	ZNF699	"Michael Snyder, Stanford"	ENCODE4
ENCSR123GPC	ENCFF858SAF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens THAP9	THAP9	"Richard Myers, HAIB"	ENCODE4
ENCSR597CHL	ENCFF096AYV	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF518B	ZNF518B	"Michael Snyder, Stanford"	ENCODE4
ENCSR025EXJ	ENCFF827VMW	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens IRF5	IRF5	"Richard Myers, HAIB"	ENCODE4
ENCSR674WPB	ENCFF269PAM	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens TFAM	TFAM	"Michael Snyder, Stanford"	ENCODE4
ENCSR801SNX	ENCFF050KYT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF512B	ZNF512B	"Richard Myers, HAIB"	ENCODE4
ENCSR188EMJ	ENCFF179LFO	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens SNAI1	SNAI1	"Richard Myers, HAIB"	ENCODE4
ENCSR386UBO	ENCFF258MNE	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ARID4A	ARID4A	"Richard Myers, HAIB"	ENCODE4
ENCSR574YRZ	ENCFF594DAV	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZSCAN12	ZSCAN12	"Richard Myers, HAIB"	ENCODE4
ENCSR392JVX	ENCFF586MZX	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ELK1	ELK1	"Richard Myers, HAIB"	ENCODE4
ENCSR373KKV	ENCFF270TFX	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF138	ZNF138	"Richard Myers, HAIB"	ENCODE4
ENCSR582EIB	ENCFF150ZBY	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF830	ZNF830	"Michael Snyder, Stanford"	ENCODE4
ENCSR905MSY	ENCFF117RRT	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOXJ3	FOXJ3	"Richard Myers, HAIB"	ENCODE4
ENCSR448RAP	ENCFF963QEL	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF552	ZNF552	"Richard Myers, HAIB"	ENCODE4
ENCSR767NGL	ENCFF497SIC	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens FOSL1	FOSL1	"Richard Myers, HAIB"	ENCODE4
ENCSR998LUY	ENCFF507WOQ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TARDBP	TARDBP	"Richard Myers, HAIB"	ENCODE4
ENCSR017EJY	ENCFF832DBU	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens DLX4	DLX4	"Michael Snyder, Stanford"	ENCODE4
ENCSR407BPU	ENCFF667MEL	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF609	ZNF609	"Richard Myers, HAIB"	ENCODE4
ENCSR983KRB	ENCFF381WCL	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MTA1	MTA1	"Richard Myers, HAIB"	ENCODE4
ENCSR605JAI	ENCFF366KEF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TMF1	TMF1	"Richard Myers, HAIB"	ENCODE4
ENCSR261UIH	ENCFF261NJZ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF460	ZNF460	"Richard Myers, HAIB"	ENCODE4
ENCSR471VAY	ENCFF388IZF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF484	ZNF484	"Richard Myers, HAIB"	ENCODE4
ENCSR748SQL	ENCFF157HQD	Homo sapiens GM12878 genetically modified (insertion) using CRISPR targeting H. sapiens PRDM15	PRDM15	"Michael Snyder, Stanford"	ENCODE4
ENCSR794LVK	ENCFF588WBI	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ARNTL	ARNTL	"Richard Myers, HAIB"	ENCODE4
ENCSR332EKO	ENCFF490TYP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HMGA1	HMGA1	"Richard Myers, HAIB"	ENCODE4
ENCSR079SHZ	ENCFF302RKX	Homo sapiens MCF-7 genetically modified (insertion) using CRISPR targeting H. sapiens OTX1	OTX1	"Michael Snyder, Stanford"	ENCODE4
ENCSR914HPP	ENCFF624TVT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF44	ZNF44	"Richard Myers, HAIB"	ENCODE4
ENCSR198BHH	ENCFF414GKA	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF550	ZNF550	"Richard Myers, HAIB"	ENCODE4
ENCSR029ARE	ENCFF906WDG	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF773	ZNF773	"Richard Myers, HAIB"	ENCODE4
ENCSR701SED	ENCFF094VPO	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens OSR1 treated with 6 ?M all-trans-retinoic acid for 48 hours	OSR1	"Michael Snyder, Stanford"	ENCODE4
ENCSR622AMZ	ENCFF670IOD	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF761	ZNF761	"Richard Myers, HAIB"	ENCODE4
ENCSR958JPH	ENCFF144ZLB	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens TSHZ1	TSHZ1	"Michael Snyder, Stanford"	ENCODE4
ENCSR058DRG	ENCFF558AJI	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens CEBPG	CEBPG	"Richard Myers, HAIB"	ENCODE4
ENCSR775EQV	ENCFF053ABJ	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF583	ZNF583	"Michael Snyder, Stanford"	ENCODE4
ENCSR488ZNK	ENCFF496HIK	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF646	ZNF646	"Richard Myers, HAIB"	ENCODE4
ENCSR334UWP	ENCFF477RJN	Homo sapiens GM23338 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF462	ZNF462	"Michael Snyder, Stanford"	ENCODE4
ENCSR013RNH	ENCFF372PXU	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens E2F2	E2F2	"Richard Myers, HAIB"	ENCODE4
ENCSR505ELD	ENCFF744HGY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens NPAS2	NPAS2	"Richard Myers, HAIB"	ENCODE4
ENCSR775NLJ	ENCFF645IVF	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens CHCHD3	CHCHD3	"Michael Snyder, Stanford"	ENCODE4
ENCSR502YME	ENCFF802VTG	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens GLI4	GLI4	"Richard Myers, HAIB"	ENCODE4
ENCSR767HDQ	ENCFF209MHH	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens CERS6	CERS6	"Richard Myers, HAIB"	ENCODE4
ENCSR055ZIA	ENCFF259PTV	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF570	ZNF570	"Richard Myers, HAIB"	ENCODE4
ENCSR469GZL	ENCFF453UVV	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens LCOR	LCOR	"Richard Myers, HAIB"	ENCODE4
ENCSR207WFD	ENCFF835PIH	Homo sapiens A549 genetically modified (insertion) using CRISPR targeting H. sapiens HMGA2	HMGA2	"Michael Snyder, Stanford"	ENCODE4
ENCSR931ZOM	ENCFF628ZKC	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF451	ZNF451	"Richard Myers, HAIB"	ENCODE4
ENCSR581GUY	ENCFF049VST	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens ZFP3 treated with 6 ?M all-trans-retinoic acid for 48 hours	ZFP3	"Michael Snyder, Stanford"	ENCODE4
ENCSR835VBH	ENCFF064MUO	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens CSRNP3 treated with 6 ?M all-trans-retinoic acid for 48 hours	CSRNP3	"Michael Snyder, Stanford"	ENCODE4
ENCSR158LJN	ENCFF266YHW	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MAX	MAX	"Richard Myers, HAIB"	ENCODE4
ENCSR918EFA	ENCFF945IST	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF57	ZNF57	"Michael Snyder, Stanford"	ENCODE4
ENCSR591MYB	ENCFF815JML	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF746	ZNF746	"Richard Myers, HAIB"	ENCODE4
ENCSR946RZN	ENCFF480YAW	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens SP2	SP2	"Richard Myers, HAIB"	ENCODE4
ENCSR402ZCY	ENCFF349HIP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ATF3	ATF3	"Richard Myers, HAIB"	ENCODE4
ENCSR630GGD	ENCFF098TGJ	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens TFAP2B treated with 6 ?M all-trans-retinoic acid for 48 hours	TFAP2B	"Michael Snyder, Stanford"	ENCODE4
ENCSR463DPV	ENCFF026PPP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens AFF4	AFF4	"Richard Myers, HAIB"	ENCODE4
ENCSR802UCW	ENCFF780JTP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MLXIP	MLXIP	"Richard Myers, HAIB"	ENCODE4
ENCSR634WRC	ENCFF545DCW	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF512	ZNF512	"Richard Myers, HAIB"	ENCODE4
ENCSR873OVI	ENCFF093AZT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MTA3	MTA3	"Richard Myers, HAIB"	ENCODE4
ENCSR178SXA	ENCFF974NTF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens NCOA2	NCOA2	"Richard Myers, HAIB"	ENCODE4
ENCSR660ENW	ENCFF333PIQ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens CAMTA2	CAMTA2	"Richard Myers, HAIB"	ENCODE4
ENCSR507BWM	ENCFF966JEA	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens GLIS3 treated with 6 ?M all-trans-retinoic acid for 48 hours	GLIS3	"Michael Snyder, Stanford"	ENCODE4
ENCSR545ACM	ENCFF259UJN	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF549	ZNF549	"Richard Myers, HAIB"	ENCODE4
ENCSR068ZQR	ENCFF920PLY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF777	ZNF777	"Richard Myers, HAIB"	ENCODE4
ENCSR163IUV	ENCFF704UVS	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MAZ	MAZ	"Richard Myers, HAIB"	ENCODE4
ENCSR405KTQ	ENCFF180KAV	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens HEY1	HEY1	"Michael Snyder, Stanford"	ENCODE4
ENCSR910UQX	ENCFF219OPP	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens TGIF2	TGIF2	"Richard Myers, HAIB"	ENCODE4
ENCSR879HUU	ENCFF103YZQ	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens GABPB2	GABPB2	"Michael Snyder, Stanford"	ENCODE4
ENCSR754ALX	ENCFF065ZRF	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens ZNF565 treated with 6 ?M all-trans-retinoic acid for 48 hours	ZNF565	"Michael Snyder, Stanford"	ENCODE4
ENCSR151WAM	ENCFF773HRY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MBNL3	MBNL3	"Michael Snyder, Stanford"	ENCODE4
ENCSR639UKJ	ENCFF748SGP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MLLT10	MLLT10	"Richard Myers, HAIB"	ENCODE4
ENCSR514RAH	ENCFF909XQR	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens RARG	RARG	"Richard Myers, HAIB"	ENCODE4
ENCSR170AMG	ENCFF942JZO	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens FOXC1	FOXC1	"Richard Myers, HAIB"	ENCODE4
ENCSR995FUM	ENCFF670RLH	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF79	ZNF79	"Michael Snyder, Stanford"	ENCODE4
ENCSR917SSX	ENCFF294DQQ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF160	ZNF160	"Richard Myers, HAIB"	ENCODE4
ENCSR029OPK	ENCFF258HYD	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ESRRA	ESRRA	"Richard Myers, HAIB"	ENCODE4
ENCSR977FEF	ENCFF719BHI	Homo sapiens A549 genetically modified (insertion) using CRISPR targeting H. sapiens PRDM1	PRDM1	"Michael Snyder, Stanford"	ENCODE4
ENCSR034IND	ENCFF641XDM	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF232	ZNF232	"Richard Myers, HAIB"	ENCODE4
ENCSR956OSX	ENCFF919ZSN	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ONECUT1	ONECUT1	"Richard Myers, HAIB"	ENCODE4
ENCSR922MQU	ENCFF139XIZ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens FUBP1	FUBP1	"Richard Myers, HAIB"	ENCODE4
ENCSR141ELR	ENCFF078ATH	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF778	ZNF778	"Richard Myers, HAIB"	ENCODE4
ENCSR171BKT	ENCFF450BWT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF674	ZNF674	"Richard Myers, HAIB"	ENCODE4
ENCSR670UEX	ENCFF216JWP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF710	ZNF710	"Richard Myers, HAIB"	ENCODE4
ENCSR367KYL	ENCFF438MZI	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZHX3	ZHX3	"Richard Myers, HAIB"	ENCODE4
ENCSR467EQP	ENCFF791OWQ	"Homo sapiens brain organoid female embryo (5 days), 90 days post differentiation"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR891KPP	ENCFF060MHX	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF865	ZNF865	"Richard Myers, HAIB"	ENCODE4
ENCSR144NTH	ENCFF080TIX	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens RBAK	RBAK	"Richard Myers, HAIB"	ENCODE4
ENCSR198RHC	ENCFF462RVE	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF782	ZNF782	"Richard Myers, HAIB"	ENCODE4
ENCSR471WXT	ENCFF970QKS	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens CREB1	CREB1	"Richard Myers, HAIB"	ENCODE4
ENCSR225KOS	ENCFF190FEC	"Homo sapiens brain organoid female embryo (5 days), 180 days post differentiation"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR037LQB	ENCFF460DRP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZSCAN25	ZSCAN25	"Richard Myers, HAIB"	ENCODE4
ENCSR869RSW	ENCFF042SUM	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF766	ZNF766	"Richard Myers, HAIB"	ENCODE4
ENCSR163VTS	ENCFF786CRW	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens NFYA	NFYA	"Richard Myers, HAIB"	ENCODE4
ENCSR226NRS	ENCFF035QJG	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens TOX2 treated with 6 ?M all-trans-retinoic acid for 48 hours	TOX2	"Michael Snyder, Stanford"	ENCODE4
ENCSR130ZAR	ENCFF296WYX	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF691	ZNF691	"Richard Myers, HAIB"	ENCODE4
ENCSR577KQD	ENCFF878SVX	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF507	ZNF507	"Michael Snyder, Stanford"	ENCODE4
ENCSR119OFH	ENCFF740MEN	Homo sapiens MCF-7 genetically modified (insertion) using CRISPR targeting H. sapiens BRCA2	BRCA2	"Michael Snyder, Stanford"	ENCODE4
ENCSR932ZRD	ENCFF349OOT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB38	ZBTB38	"Richard Myers, HAIB"	ENCODE4
ENCSR934RJP	ENCFF798AFV	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF3	ZNF3	"Michael Snyder, Stanford"	ENCODE4
ENCSR481AIK	ENCFF149QHA	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB3	ZBTB3	"Richard Myers, HAIB"	ENCODE4
ENCSR860XVO	ENCFF611WRQ	Homo sapiens MCF-7 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF331	ZNF331	"Michael Snyder, Stanford"	ENCODE4
ENCSR469FBY	ENCFF704BPD	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HNF4A	HNF4A	"Richard Myers, HAIB"	ENCODE4
ENCSR935UQL	ENCFF188PLS	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MECOM	MECOM	"Michael Snyder, Stanford"	ENCODE4
