# REST + cCREs					
Chr	Start	End	cCRE accession	cCRE class	Silencer class
chr8	13250213	13250442	EH38E4461044	TF	REST+ silencer
chr8	1330001	1330315	EH38E4458640	CA-CTCF	REST+ silencer
chr8	133705098	133705248	EH38E4484577	CA-TF	REST+ silencer
chr8	135085933	135086212	EH38E4485035	CA-TF	REST+ silencer
chr8	135310551	135310730	EH38E4485153	CA-TF	REST+ silencer
chr8	135447224	135447458	EH38E4485248	CA-TF	REST+ silencer
chr8	136117871	136118137	EH38E2671529	CA-TF	REST+ silencer
chr8	137240413	137240657	EH38E4486010	TF	REST+ silencer
chr8	138425693	138425858	EH38E2672017	CA-TF	REST+ silencer
chr8	138628513	138628780	EH38E4486346	CA-TF	REST+ silencer
chr8	138642016	138642291	EH38E3864525	CA-CTCF	REST+ silencer
chr8	138680502	138680749	EH38E4486362	CA-H3K4me3	REST+ silencer
chr8	138735781	138736080	EH38E3864562	CA-H3K4me3	REST+ silencer
chr8	139071147	139071432	EH38E3864662	CA-CTCF	REST+ silencer
chr8	139209314	139209591	EH38E4486539	CA-TF	REST+ silencer
chr8	139246145	139246425	EH38E3864684	CA-CTCF	REST+ silencer
chr8	139561357	139561686	EH38E4486632	CA-TF	REST+ silencer
chr8	139658728	139659050	EH38E4486678	CA-TF	REST+ silencer
chr8	141515800	141516081	EH38E4487296	CA-TF	REST+ silencer
chr8	141516641	141516951	EH38E4487298	CA-TF	REST+ silencer
chr8	141889372	141889665	EH38E4487521	CA-CTCF	REST+ silencer
chr8	141938675	141939020	EH38E2674138	CA-CTCF	REST+ silencer
chr8	142231417	142231673	EH38E4487742	TF	REST+ silencer
chr8	142295460	142295804	EH38E3867135	CA-CTCF	REST+ silencer
chr8	142706821	142707065	EH38E4487987	TF	REST+ silencer
chr8	142912010	142912258	EH38E4488062	CA-TF	REST+ silencer
chr8	142943618	142943932	EH38E3867992	CA-CTCF	REST+ silencer
chr8	143101805	143102120	EH38E4488129	CA-H3K4me3	REST+ silencer
chr8	143227436	143227744	EH38E4488176	CA-TF	REST+ silencer
chr8	1433810	1433986	EH38E4458692	TF	REST+ silencer
chr8	143401201	143401549	EH38E3868552	CA-H3K4me3	REST+ silencer
chr8	14914718	14914960	EH38E4461337	CA-TF	REST+ silencer
chr8	1537951	1538150	EH38E4458739	CA-CTCF	REST+ silencer
chr8	16482398	16482571	EH38E3819340	CA-CTCF	REST+ silencer
chr8	16843159	16843309	EH38E4461690	TF	REST+ silencer
chr8	17868541	17868691	EH38E4461838	CA-CTCF	REST+ silencer
chr8	20462325	20462604	EH38E4462279	CA-TF	REST+ silencer
chr8	20633892	20634191	EH38E2615391	CA-CTCF	REST+ silencer
chr8	20637204	20637435	EH38E4462329	CA-TF	REST+ silencer
chr8	21816499	21816743	EH38E4462665	CA-TF	REST+ silencer
chr8	21898355	21898511	EH38E4462699	TF	REST+ silencer
chr8	25028083	25028420	EH38E4463431	CA-TF	REST+ silencer
chr8	25029916	25030074	EH38E4463433	TF	REST+ silencer
chr8	257235	257421	EH38E4458277	CA-CTCF	REST+ silencer
chr8	25861639	25861842	EH38E4463584	CA-CTCF	REST+ silencer
chr8	2671741	2671918	EH38E4458984	TF	REST+ silencer
chr8	27986988	27987201	EH38E4464021	TF	REST+ silencer
chr8	28737457	28737770	EH38E4464170	CA-TF	REST+ silencer
chr8	29426877	29427149	EH38E4464303	CA-TF	REST+ silencer
chr8	31402129	31402352	EH38E4464676	TF	REST+ silencer
chr8	31641937	31642268	EH38E2622586	CA-H3K4me3	REST+ silencer
chr8	31771757	31772001	EH38E4464740	TF	REST+ silencer
chr8	31795369	31795620	EH38E4464750	CA-H3K4me3	REST+ silencer
chr8	3211609	3211949	EH38E4459095	CA-TF	REST+ silencer
chr8	32535168	32535369	EH38E4464892	CA-TF	REST+ silencer
chr8	32629748	32629901	EH38E4464914	CA-CTCF	REST+ silencer
chr8	34902021	34902278	EH38E4465373	CA-TF	REST+ silencer
chr8	35432317	35432595	EH38E4465471	CA-TF	REST+ silencer
chr8	36378042	36378331	EH38E4465666	CA-TF	REST+ silencer
chr8	41472538	41472866	EH38E4466723	TF	REST+ silencer
chr8	4289504	4289783	EH38E3815239	CA-CTCF	REST+ silencer
chr8	43540659	43540988	EH38E4467147	TF	REST+ silencer
chr8	4394930	4395206	EH38E4459310	CA-TF	REST+ silencer
chr8	47089382	47089732	EH38E4467293	TF	REST+ silencer
chr8	47265826	47265989	EH38E4467323	TF	REST+ silencer
chr8	50563358	50563565	EH38E2630279	CA-H3K4me3	REST+ silencer
chr8	52536183	52536504	EH38E4468162	CA-TF	REST+ silencer
chr8	55001371	55001656	EH38E4468638	CA-CTCF	REST+ silencer
chr8	56304202	56304516	EH38E4468901	TF	REST+ silencer
chr8	58276427	58276747	EH38E4469293	TF	REST+ silencer
chr8	58359564	58359761	EH38E2633446	CA-H3K4me3	REST+ silencer
chr8	59344161	59344432	EH38E2634101	CA-TF	REST+ silencer
chr8	61801438	61801594	EH38E4469922	TF	REST+ silencer
chr8	6225713	6225866	EH38E3815524	CA-TF	REST+ silencer
chr8	63155487	63155722	EH38E4470195	CA-H3K4me3	REST+ silencer
chr8	67860685	67860970	EH38E4471021	CA-TF	REST+ silencer
chr8	68172299	68172466	EH38E4471065	CA-TF	REST+ silencer
chr8	6826692	6826914	EH38E3815813	CA-CTCF	REST+ silencer
chr8	71195556	71195876	EH38E4471622	TF	REST+ silencer
chr8	71653672	71653936	EH38E4471697	CA-TF	REST+ silencer
chr8	72833561	72833791	EH38E2639960	CA-CTCF	REST+ silencer
chr8	72919108	72919361	EH38E2639985	CA-H3K4me3	REST+ silencer
chr8	73646367	73646589	EH38E4472119	TF	REST+ silencer
chr8	76522379	76522587	EH38E2641482	CA-CTCF	REST+ silencer
chr8	78740885	78741111	EH38E2642229	CA-H3K4me3	REST+ silencer
chr8	78879743	78879966	EH38E4472922	CA-TF	REST+ silencer
chr8	79237303	79237563	EH38E4472983	CA-TF	REST+ silencer
chr8	79546049	79546232	EH38E4473054	CA-TF	REST+ silencer
chr8	79584082	79584247	EH38E4473062	TF	REST+ silencer
chr8	79609475	79609638	EH38E2642521	CA-H3K4me3	REST+ silencer
chr8	82182372	82182720	EH38E2644154	CA-H3K4me3	REST+ silencer
chr8	83345168	83345453	EH38E4473706	CA-TF	REST+ silencer
chr8	86746281	86746462	EH38E4474338	TF	REST+ silencer
chr8	86836823	86837105	EH38E4474355	CA-TF	REST+ silencer
chr8	89518835	89519013	EH38E4474812	TF	REST+ silencer
chr8	91270344	91270633	EH38E4475180	CA-TF	REST+ silencer
chr8	91556899	91557149	EH38E4475233	CA-TF	REST+ silencer
chr8	91680685	91680961	EH38E4475268	CA-TF	REST+ silencer
chr8	92548035	92548271	EH38E3844814	CA-CTCF	REST+ silencer
chr8	93587539	93587762	EH38E4475685	CA-H3K4me3	REST+ silencer
chr8	9416591	9416941	EH38E4460210	TF	REST+ silencer
chr8	97651246	97651596	EH38E4476532	TF	REST+ silencer
chr8	9925028	9925306	EH38E4460292	CA-CTCF	REST+ silencer
chr8	99772791	99772950	EH38E3847743	CA-H3K4me3	REST+ silencer
chr9	101628276	101628440	EH38E2713379	CA-CTCF	REST+ silencer
chr9	101736803	101737075	EH38E2713413	CA-H3K4me3	REST+ silencer
chr9	107127668	107127913	EH38E2715220	CA-CTCF	REST+ silencer
chr9	107350560	107350733	EH38E3899759	CA-CTCF	REST+ silencer
chr9	115267927	115268079	EH38E2720906	CA-CTCF	REST+ silencer
chr9	116350273	116350545	EH38E2721586	CA-TF	REST+ silencer
chr9	116806121	116806446	EH38E3904414	CA-CTCF	REST+ silencer
chr9	116998352	116998596	EH38E4505614	CA-TF	REST+ silencer
chr9	117034920	117035243	EH38E4505630	CA-TF	REST+ silencer
chr9	118059573	118059873	EH38E4505842	CA-CTCF	REST+ silencer
chr9	118693700	118693961	EH38E4505976	CA-TF	REST+ silencer
chr9	118918216	118918521	EH38E4506008	TF	REST+ silencer
chr9	119252972	119253239	EH38E4506067	CA-TF	REST+ silencer
chr9	119709556	119709720	EH38E4506157	TF	REST+ silencer
chr9	119746906	119747073	EH38E2722782	CA-CTCF	REST+ silencer
chr9	120252322	120252566	EH38E4506318	CA-TF	REST+ silencer
chr9	122095610	122095771	EH38E3906512	CA-H3K4me3	REST+ silencer
chr9	122642259	122642575	EH38E4506790	CA-CTCF	REST+ silencer
chr9	123291838	123292076	EH38E4506887	CA-TF	REST+ silencer
chr9	124110328	124110669	EH38E4507126	CA-CTCF	REST+ silencer
chr9	124150065	124150400	EH38E4507141	CA-TF	REST+ silencer
chr9	125732616	125732965	EH38E4507513	CA-TF	REST+ silencer
chr9	129387905	129388104	EH38E4508490	TF	REST+ silencer
chr9	129790362	129790712	EH38E3912452	CA-H3K4me3	REST+ silencer
chr9	130944646	130944887	EH38E4508931	CA-TF	REST+ silencer
chr9	131773909	131774259	EH38E4509141	CA-CTCF	REST+ silencer
chr9	131776509	131776856	EH38E4509143	CA-TF	REST+ silencer
chr9	131804101	131804284	EH38E4509159	CA	REST+ silencer
chr9	132114127	132114476	EH38E4509260	CA-CTCF	REST+ silencer
chr9	134467327	134467521	EH38E3917430	CA-CTCF	REST+ silencer
chr9	137884639	137884877	EH38E4511089	CA-CTCF	REST+ silencer
chr9	137890829	137891042	EH38E4511091	CA-TF	REST+ silencer
chr9	16112196	16112436	EH38E3875849	CA-H3K4me3	REST+ silencer
chr9	17744837	17745113	EH38E4491879	CA-TF	REST+ silencer
chr9	18626136	18626380	EH38E2685377	CA-CTCF	REST+ silencer
chr9	19720416	19720733	EH38E4492218	CA-TF	REST+ silencer
chr9	22535920	22536070	EH38E4492711	TF	REST+ silencer
chr9	24067144	24067417	EH38E4492937	CA-CTCF	REST+ silencer
chr9	2481390	2481740	EH38E4489319	CA-TF	REST+ silencer
chr9	24986409	24986659	EH38E4493023	CA-CTCF	REST+ silencer
chr9	26229651	26229992	EH38E2688284	CA-H3K4me3	REST+ silencer
chr9	26462267	26462562	EH38E4493258	CA-TF	REST+ silencer
chr9	27521138	27521295	EH38E4493425	TF	REST+ silencer
chr9	28177183	28177487	EH38E4493566	TF	REST+ silencer
chr9	28671128	28671297	EH38E4493666	TF	REST+ silencer
chr9	2916466	2916816	EH38E3871921	CA-CTCF	REST+ silencer
chr9	2923818	2924167	EH38E4489382	CA-TF	REST+ silencer
chr9	32279099	32279284	EH38E4494197	TF	REST+ silencer
chr9	32681844	32682092	EH38E4494262	TF	REST+ silencer
chr9	3282476	3282682	EH38E3872002	CA-CTCF	REST+ silencer
chr9	34413277	34413581	EH38E4494642	CA-CTCF	REST+ silencer
chr9	34493989	34494316	EH38E4494660	CA-CTCF	REST+ silencer
chr9	35824506	35824656	EH38E4494938	TF	REST+ silencer
chr9	36720186	36720336	EH38E4495097	TF	REST+ silencer
chr9	36772548	36772746	EH38E4495127	CA-CTCF	REST+ silencer
chr9	36906583	36906783	EH38E4495174	TF	REST+ silencer
chr9	3716540	3716690	EH38E4489555	CA-CTCF	REST+ silencer
chr9	37625404	37625609	EH38E4495339	CA-TF	REST+ silencer
chr9	38410489	38410698	EH38E4495520	CA-TF	REST+ silencer
chr9	42848170	42848359	EH38E4495940	TF	REST+ silencer
chr9	42951287	42951629	EH38E4495955	CA-CTCF	REST+ silencer
chr9	4350113	4350314	EH38E3872471	CA-CTCF	REST+ silencer
chr9	4786720	4787025	EH38E4489725	TF	REST+ silencer
chr9	5321645	5321877	EH38E4489790	CA-TF	REST+ silencer
chr9	5397629	5397869	EH38E4489800	CA-TF	REST+ silencer
chr9	6187349	6187586	EH38E4489946	TF	REST+ silencer
chr9	64466154	64466340	EH38E4496158	CA-CTCF	REST+ silencer
chr9	68842659	68842905	EH38E4496406	TF	REST+ silencer
chr9	69785721	69786041	EH38E2695392	CA-CTCF	REST+ silencer
chr9	70066987	70067137	EH38E4496629	TF	REST+ silencer
chr9	71844867	71845131	EH38E4496990	TF	REST+ silencer
chr9	73348588	73348842	EH38E4497251	CA-TF	REST+ silencer
chr9	73360800	73360950	EH38E4497253	TF	REST+ silencer
chr9	73692152	73692396	EH38E4497307	TF	REST+ silencer
chr9	74362507	74362791	EH38E4497421	CA-TF	REST+ silencer
chr9	77370152	77370381	EH38E4497908	TF	REST+ silencer
chr9	77575923	77576082	EH38E2699170	CA-CTCF	REST+ silencer
chr9	79123447	79123733	EH38E4498236	CA-TF	REST+ silencer
chr9	83296150	83296492	EH38E4499070	CA-TF	REST+ silencer
chr9	86655279	86655454	EH38E3890257	CA-CTCF	REST+ silencer
chr9	89329983	89330248	EH38E4500234	TF	REST+ silencer
chr9	9091452	9091715	EH38E4490536	CA-TF	REST+ silencer
chr9	91234565	91234815	EH38E4500608	CA-CTCF	REST+ silencer
chr9	93761885	93762094	EH38E4501114	CA-CTCF	REST+ silencer
chr9	94562304	94562474	EH38E4501287	TF	REST+ silencer
chr9	97327621	97327897	EH38E4501835	TF	REST+ silencer
chr9	97745359	97745645	EH38E4501916	CA-TF	REST+ silencer
chr9	97771055	97771306	EH38E4501918	TF	REST+ silencer
chr9	98284852	98285057	EH38E4502037	CA-TF	REST+ silencer
chr9	98710464	98710663	EH38E2711778	CA-H3K4me3	REST+ silencer
chr9	99549509	99549765	EH38E4502378	TF	REST+ silencer
chrX	102138201	102138352	EH38E4525432	CA-TF	REST+ silencer
chrX	103634665	103634903	EH38E4525612	CA-TF	REST+ silencer
chrX	107324730	107325078	EH38E2763145	CA-H3K4me3	REST+ silencer
chrX	107396294	107396560	EH38E4526139	TF	REST+ silencer
chrX	107934269	107934619	EH38E4526255	TF	REST+ silencer
chrX	109261359	109261622	EH38E4526403	TF	REST+ silencer
chrX	11050997	11051147	EH38E4513621	TF	REST+ silencer
chrX	115142165	115142351	EH38E4527322	TF	REST+ silencer
chrX	120401421	120401583	EH38E4528104	CA-TF	REST+ silencer
chrX	12065312	12065619	EH38E4513825	CA-TF	REST+ silencer
chrX	122154039	122154330	EH38E4528350	CA-TF	REST+ silencer
chrX	12352986	12353200	EH38E4513880	CA-TF	REST+ silencer
chrX	12548819	12549091	EH38E3925419	CA-CTCF	REST+ silencer
chrX	12721091	12721388	EH38E4513967	CA-H3K4me3	REST+ silencer
chrX	12887326	12887487	EH38E4514001	TF	REST+ silencer
chrX	12919695	12919932	EH38E4514005	TF	REST+ silencer
chrX	130649834	130650045	EH38E4529596	TF	REST+ silencer
chrX	131146787	131147031	EH38E4529690	CA-TF	REST+ silencer
chrX	135477599	135477940	EH38E3946039	CA-CTCF	REST+ silencer
chrX	136386303	136386509	EH38E4530545	CA-TF	REST+ silencer
chrX	140393566	140393745	EH38E4531164	TF	REST+ silencer
chrX	141811607	141811759	EH38E4531358	TF	REST+ silencer
chrX	14235126	14235327	EH38E4514223	CA-TF	REST+ silencer
chrX	148824080	148824307	EH38E4532297	TF	REST+ silencer
chrX	151314545	151314789	EH38E4532812	TF	REST+ silencer
chrX	153832821	153832981	EH38E4533359	CA-TF	REST+ silencer
chrX	16887319	16887669	EH38E4514667	TF	REST+ silencer
chrX	16950497	16950747	EH38E4514686	TF	REST+ silencer
chrX	20080293	20080643	EH38E4515275	TF	REST+ silencer
chrX	20571676	20571939	EH38E4515367	CA-TF	REST+ silencer
chrX	20913816	20914110	EH38E4515424	CA-TF	REST+ silencer
chrX	23327161	23327443	EH38E4515819	CA-TF	REST+ silencer
chrX	24350325	24350538	EH38E2747231	CA-CTCF	REST+ silencer
chrX	25268842	25269007	EH38E4516150	CA-TF	REST+ silencer
chrX	29721253	29721458	EH38E4516822	TF	REST+ silencer
chrX	32137616	32137892	EH38E4517261	CA-TF	REST+ silencer
chrX	32775074	32775279	EH38E4517352	CA-TF	REST+ silencer
chrX	39530408	39530629	EH38E2750265	CA-TF	REST+ silencer
chrX	3990639	3990885	EH38E4512326	CA-TF	REST+ silencer
chrX	42450307	42450550	EH38E4518909	TF	REST+ silencer
chrX	42546933	42547087	EH38E4518930	TF	REST+ silencer
chrX	43526990	43527177	EH38E4519085	TF	REST+ silencer
chrX	45168027	45168202	EH38E4519397	TF	REST+ silencer
chrX	48166344	48166694	EH38E4519921	TF	REST+ silencer
chrX	48346150	48346357	EH38E4519946	CA-TF	REST+ silencer
chrX	4841250	4841599	EH38E2740170	CA-CTCF	REST+ silencer
chrX	53036236	53036453	EH38E4520600	TF	REST+ silencer
chrX	53283596	53283896	EH38E4520648	TF	REST+ silencer
chrX	5342025	5342200	EH38E2740229	CA-TF	REST+ silencer
chrX	55291054	55291238	EH38E4520981	TF	REST+ silencer
chrX	57670099	57670266	EH38E4521214	TF	REST+ silencer
chrX	5965498	5965699	EH38E4512616	CA-CTCF	REST+ silencer
chrX	6386923	6387172	EH38E4512679	CA-TF	REST+ silencer
chrX	65194577	65194927	EH38E4521468	TF	REST+ silencer
chrX	66654527	66654714	EH38E4521627	TF	REST+ silencer
chrX	6813876	6814159	EH38E4512754	CA-TF	REST+ silencer
chrX	7026431	7026675	EH38E4512787	TF	REST+ silencer
chrX	70264794	70265144	EH38E4522112	CA-TF	REST+ silencer
chrX	70280658	70280880	EH38E4522115	TF	REST+ silencer
chrX	74931298	74931647	EH38E4522767	CA-TF	REST+ silencer
chrX	7500516	7500689	EH38E4512867	TF	REST+ silencer
chrX	7574392	7574696	EH38E4512880	CA-TF	REST+ silencer
chrX	7580200	7580443	EH38E4512884	CA-TF	REST+ silencer
chrX	76477457	76477681	EH38E4522895	TF	REST+ silencer
chrX	8245485	8245729	EH38E4513016	CA-TF	REST+ silencer
chrX	83186001	83186231	EH38E4523543	TF	REST+ silencer
chrX	84192120	84192304	EH38E4523604	CA-TF	REST+ silencer
chrX	93169834	93170072	EH38E4524305	TF	REST+ silencer
chrX	95750318	95750562	EH38E4524550	TF	REST+ silencer
chrX	97006225	97006489	EH38E4524733	TF	REST+ silencer
chrY	14231770	14231989	EH38E4534595	CA-TF	REST+ silencer
chrY	15292930	15293192	EH38E4534727	CA-TF	REST+ silencer
chr10	100325224	100325493	EH38E4018723	dELS	REST+ enhancer/silencer
chr10	100859327	100859491	EH38E2920387	dELS	REST+ enhancer/silencer
chr10	102040400	102040613	EH38E2921203	dELS	REST+ enhancer/silencer
chr10	103708405	103708606	EH38E2922507	dELS	REST+ enhancer/silencer
chr10	104300022	104300362	EH38E2922932	dELS	REST+ enhancer/silencer
chr10	107144555	107144865	EH38E1497639	dELS	REST+ enhancer/silencer
chr10	110269649	110269935	EH38E2924327	dELS	REST+ enhancer/silencer
chr10	110360931	110361182	EH38E4020938	dELS	REST+ enhancer/silencer
chr10	110852308	110852658	EH38E2924817	dELS	REST+ enhancer/silencer
chr10	1119044	1119391	EH38E1441713	dELS	REST+ enhancer/silencer
chr10	112383296	112383643	EH38E1499974	dELS	REST+ enhancer/silencer
chr10	113127954	113128298	EH38E1500620	dELS	REST+ enhancer/silencer
chr10	113385073	113385415	EH38E1500825	dELS	REST+ enhancer/silencer
chr10	116146388	116146724	EH38E1502466	dELS	REST+ enhancer/silencer
chr10	116183794	116184124	EH38E2927010	dELS	REST+ enhancer/silencer
chr10	118569350	118569576	EH38E2928006	dELS	REST+ enhancer/silencer
chr10	11875853	11876203	EH38E1448431	dELS	REST+ enhancer/silencer
chr10	118900726	118901071	EH38E1503945	dELS	REST+ enhancer/silencer
chr10	118901485	118901764	EH38E2928164	dELS	REST+ enhancer/silencer
chr10	119342062	119342340	EH38E2928545	dELS	REST+ enhancer/silencer
chr10	119401792	119402134	EH38E2928615	dELS	REST+ enhancer/silencer
chr10	119618721	119619060	EH38E2928807	dELS	REST+ enhancer/silencer
chr10	122850010	122850211	EH38E4023687	dELS	REST+ enhancer/silencer
chr10	123093581	123093773	EH38E4023741	dELS	REST+ enhancer/silencer
chr10	123472645	123472991	EH38E4023859	dELS	REST+ enhancer/silencer
chr10	124748281	124748450	EH38E2931544	dELS	REST+ enhancer/silencer
chr10	125201180	125201529	EH38E1508410	dELS	REST+ enhancer/silencer
chr10	126072653	126072994	EH38E1508858	dELS	REST+ enhancer/silencer
chr10	126326468	126326695	EH38E2932456	dELS	REST+ enhancer/silencer
chr10	126508633	126508849	EH38E1509235	dELS	REST+ enhancer/silencer
chr10	126536284	126536484	EH38E1509252	dELS	REST+ enhancer/silencer
chr10	127158727	127158928	EH38E1509594	dELS	REST+ enhancer/silencer
chr10	12729932	12730239	EH38E4002007	dELS	REST+ enhancer/silencer
chr10	127485254	127485601	EH38E1509789	dELS	REST+ enhancer/silencer
chr10	129568678	129568862	EH38E2933817	dELS	REST+ enhancer/silencer
chr10	130834246	130834512	EH38E4025913	dELS	REST+ enhancer/silencer
chr10	130924171	130924515	EH38E4025935	dELS	REST+ enhancer/silencer
chr10	131425901	131426062	EH38E2934636	dELS	REST+ enhancer/silencer
chr10	131898890	131899117	EH38E2934858	dELS	REST+ enhancer/silencer
chr10	13224538	13224887	EH38E2886983	dELS	REST+ enhancer/silencer
chr10	132275037	132275355	EH38E2935290	dELS	REST+ enhancer/silencer
chr10	132294610	132294898	EH38E4026510	dELS	REST+ enhancer/silencer
chr10	132984760	132985104	EH38E2936333	dELS	REST+ enhancer/silencer
chr10	133080084	133080412	EH38E4026882	dELS	REST+ enhancer/silencer
chr10	13707484	13707834	EH38E1449637	dELS	REST+ enhancer/silencer
chr10	14665946	14666201	EH38E2887794	dELS	REST+ enhancer/silencer
chr10	1643507	1643800	EH38E3999693	dELS	REST+ enhancer/silencer
chr10	16612104	16612450	EH38E4002866	dELS	REST+ enhancer/silencer
chr10	17113998	17114326	EH38E1451692	dELS	REST+ enhancer/silencer
chr10	17209398	17209705	EH38E4002964	dELS	REST+ enhancer/silencer
chr10	17836995	17837342	EH38E2889010	dELS	REST+ enhancer/silencer
chr10	18469226	18469381	EH38E4003198	dELS	REST+ enhancer/silencer
chr10	2011148	2011479	EH38E1442150	dELS	REST+ enhancer/silencer
chr10	22229327	22229671	EH38E4003895	dELS	REST+ enhancer/silencer
chr10	23826456	23826735	EH38E1455294	dELS	REST+ enhancer/silencer
chr10	24184462	24184745	EH38E2891281	dELS	REST+ enhancer/silencer
chr10	26367858	26368159	EH38E4004682	dELS	REST+ enhancer/silencer
chr10	26377466	26377672	EH38E1456504	dELS	REST+ enhancer/silencer
chr10	28021674	28021869	EH38E2892596	dELS	REST+ enhancer/silencer
chr10	2964644	2964794	EH38E1442466	dELS	REST+ enhancer/silencer
chr10	31963291	31963522	EH38E2894580	dELS	REST+ enhancer/silencer
chr10	3313759	3314105	EH38E2881944	dELS	REST+ enhancer/silencer
chr10	3511572	3511779	EH38E2882075	dELS	REST+ enhancer/silencer
chr10	35460960	35461229	EH38E1462407	dELS	REST+ enhancer/silencer
chr10	3691692	3692037	EH38E2882163	dELS	REST+ enhancer/silencer
chr10	3955544	3955821	EH38E1443363	dELS	REST+ enhancer/silencer
chr10	4141541	4141790	EH38E2882519	dELS	REST+ enhancer/silencer
chr10	43093448	43093742	EH38E2897048	dELS	REST+ enhancer/silencer
chr10	44894257	44894462	EH38E2898040	dELS	REST+ enhancer/silencer
chr10	45227205	45227393	EH38E2898220	dELS	REST+ enhancer/silencer
chr10	48481475	48481791	EH38E2899397	dELS	REST+ enhancer/silencer
chr10	48724164	48724467	EH38E2899588	dELS	REST+ enhancer/silencer
chr10	49397994	49398337	EH38E4008608	dELS	REST+ enhancer/silencer
chr10	5376473	5376817	EH38E2882982	dELS	REST+ enhancer/silencer
chr10	58176079	58176317	EH38E1469500	dELS	REST+ enhancer/silencer
chr10	59007756	59007960	EH38E1470035	dELS	REST+ enhancer/silencer
chr10	59265271	59265475	EH38E1470161	dELS	REST+ enhancer/silencer
chr10	60628472	60628653	EH38E1471070	dELS	REST+ enhancer/silencer
chr10	62379432	62379779	EH38E2903553	dELS	REST+ enhancer/silencer
chr10	62632516	62632864	EH38E2903674	dELS	REST+ enhancer/silencer
chr10	67781148	67781480	EH38E2904873	dELS	REST+ enhancer/silencer
chr10	68600359	68600707	EH38E2905180	dELS	REST+ enhancer/silencer
chr10	69345430	69345776	EH38E2905523	dELS	REST+ enhancer/silencer
chr10	69360758	69361106	EH38E2905534	dELS	REST+ enhancer/silencer
chr10	70315917	70316159	EH38E4012437	dELS	REST+ enhancer/silencer
chr10	70540487	70540820	EH38E2906371	dELS	REST+ enhancer/silencer
chr10	70950232	70950392	EH38E1476366	dELS	REST+ enhancer/silencer
chr10	71582086	71582356	EH38E4012859	dELS	REST+ enhancer/silencer
chr10	71752946	71753218	EH38E2907374	dELS	REST+ enhancer/silencer
chr10	71821911	71822197	EH38E2907468	dELS	REST+ enhancer/silencer
chr10	71853976	71854312	EH38E2907515	dELS	REST+ enhancer/silencer
chr10	73407581	73407821	EH38E2908378	dELS	REST+ enhancer/silencer
chr10	73660922	73661200	EH38E1478406	dELS	REST+ enhancer/silencer
chr10	77297417	77297631	EH38E1480757	dELS	REST+ enhancer/silencer
chr10	77328443	77328731	EH38E4014160	dELS	REST+ enhancer/silencer
chr10	77513707	77513891	EH38E1480979	dELS	REST+ enhancer/silencer
chr10	79155362	79155697	EH38E2911631	dELS	REST+ enhancer/silencer
chr10	8157050	8157251	EH38E2884877	dELS	REST+ enhancer/silencer
chr10	82464567	82464907	EH38E1483841	dELS	REST+ enhancer/silencer
chr10	83954213	83954543	EH38E2913194	dELS	REST+ enhancer/silencer
chr10	84187283	84187445	EH38E2913287	dELS	REST+ enhancer/silencer
chr10	85213260	85213468	EH38E2913618	dELS	REST+ enhancer/silencer
chr10	86079661	86079864	EH38E2913806	dELS	REST+ enhancer/silencer
chr10	86319718	86320065	EH38E1485113	dELS	REST+ enhancer/silencer
chr10	87922406	87922585	EH38E2914760	dELS	REST+ enhancer/silencer
chr10	88243864	88244213	EH38E1486343	dELS	REST+ enhancer/silencer
chr10	88471939	88472130	EH38E2915030	dELS	REST+ enhancer/silencer
chr10	91127369	91127685	EH38E2916065	dELS	REST+ enhancer/silencer
chr10	92387318	92387663	EH38E1488801	dELS	REST+ enhancer/silencer
chr10	92395328	92395675	EH38E2916540	dELS	REST+ enhancer/silencer
chr10	92544285	92544631	EH38E2916584	dELS	REST+ enhancer/silencer
chr10	93417273	93417623	EH38E1489400	dELS	REST+ enhancer/silencer
chr10	94066514	94066676	EH38E1489833	dELS	REST+ enhancer/silencer
chr10	95392003	95392257	EH38E1490386	dELS	REST+ enhancer/silencer
chr10	95411747	95412002	EH38E4017687	dELS	REST+ enhancer/silencer
chr10	95601198	95601544	EH38E2917835	dELS	REST+ enhancer/silencer
chr10	97081689	97081973	EH38E4017971	dELS	REST+ enhancer/silencer
chr10	97411419	97411768	EH38E2918783	dELS	REST+ enhancer/silencer
chr10	98055929	98056223	EH38E4018273	dELS	REST+ enhancer/silencer
chr10	98313686	98313906	EH38E2919332	dELS	REST+ enhancer/silencer
chr10	99331249	99331543	EH38E1492786	dELS	REST+ enhancer/silencer
chr1	10648968	10649228	EH38E3954258	dELS	REST+ enhancer/silencer
chr1	107939385	107939544	EH38E1373925	dELS	REST+ enhancer/silencer
chr1	107992437	107992638	EH38E3975701	dELS	REST+ enhancer/silencer
chr1	108880943	108881221	EH38E1374371	dELS	REST+ enhancer/silencer
chr1	109254640	109254857	EH38E2829434	dELS	REST+ enhancer/silencer
chr1	109477872	109478111	EH38E1374813	dELS	REST+ enhancer/silencer
chr1	109478845	109479145	EH38E1374814	dELS	REST+ enhancer/silencer
chr1	109555768	109556065	EH38E1374896	dELS	REST+ enhancer/silencer
chr11	102390717	102391063	EH38E2981329	dELS	REST+ enhancer/silencer
chr11	1025101	1025426	EH38E2938432	dELS	REST+ enhancer/silencer
chr11	10379066	10379343	EH38E4029442	dELS	REST+ enhancer/silencer
chr11	105135900	105136244	EH38E1566487	dELS	REST+ enhancer/silencer
