# STARR silencer cCREs							
Chr	Start	End	cCRE accession	cCRE class	CAPRA quantification	P-value	Threshold
chr10	93378166	93378353	EH38E4017379	TF	-1.0823	1.95E-02	Robust
chr11	66619826	66620078	EH38E2965817	dELS	-1.1875	1.95E-02	Robust
chr4	24974955	24975147	EH38E2286930	dELS	-0.9876	1.95E-02	Robust
chr3	172753838	172754039	EH38E3554093	pELS	-1.1408	1.95E-02	Robust
chr18	64052861	64053029	EH38E3273836	dELS	-1.1017	1.95E-02	Robust
chr11	21520792	21520991	EH38E4031681	CA-CTCF	-1.1773	1.95E-02	Robust
chr3	25149425	25149629	EH38E3501813	dELS	-1.0698	1.96E-02	Robust
chr1	898458	898659	EH38E2776591	dELS	-1.1331	1.96E-02	Robust
chr2	17424998	17425331	EH38E4208240	CA	-1.1511	1.96E-02	Robust
chr11	121223384	121223719	EH38E1576355	dELS	-1.1124	1.96E-02	Robust
chr2	163291902	163292119	EH38E4237061	TF	-1.1855	1.96E-02	Robust
chr19	13258569	13258766	EH38E3291832	CA-CTCF	-0.8679	1.96E-02	Robust
chr2	74190870	74191129	EH38E2010245	pELS	-1.0302	1.96E-02	Robust
chr12	98580134	98580313	EH38E4072903	CA-TF	-1.0864	1.96E-02	Robust
chr13	50242606	50242830	EH38E3066557	dELS	-1.1345	1.96E-02	Robust
chr11	124765506	124765701	EH38E1578737	dELS	-1.1742	1.97E-02	Robust
chr2	100299805	100300141	EH38E4224228	CA	-1.1133	1.97E-02	Robust
chr5	79846006	79846312	EH38E2385764	dELS	-1.1133	1.97E-02	Robust
chr7	7357292	7357462	EH38E2532768	CA	-1.1734	1.97E-02	Robust
chr1	91874320	91874487	EH38E3972959	dELS	-1.0057	1.97E-02	Robust
chr20	33934129	33934330	EH38E3428522	dELS	-0.8713	1.97E-02	Robust
chr3	127356715	127356914	EH38E4310270	CA-H3K4me3	-0.9543	1.97E-02	Robust
chr12	16387939	16388289	EH38E4057697	TF	-1.1866	1.97E-02	Robust
chr4	110175751	110175906	EH38E3599766	dELS	-1.1401	1.97E-02	Robust
chr5	158284253	158284544	EH38E2425197	dELS	-1.1401	1.97E-02	Robust
chr1	99935580	99935922	EH38E1371415	dELS	-1.1855	1.98E-02	Robust
chr11	109071391	109071554	EH38E2983266	dELS	-1.1862	1.98E-02	Robust
chr4	6844156	6844372	EH38E2278559	CA	-1.1862	1.98E-02	Robust
chr16	81092998	81093207	EH38E3193323	dELS	-1.1854	1.98E-02	Robust
chr1	192935800	192935966	EH38E2855066	dELS	-1.0834	1.98E-02	Robust
chr7	149638285	149638524	EH38E4455352	CA	-0.8721	1.98E-02	Robust
chr17	44881699	44881883	EH38E1865512	dELS	-0.9886	1.98E-02	Robust
chr9	120368928	120369078	EH38E2722953	dELS	-0.9968	1.98E-02	Robust
chr9	124949464	124949658	EH38E4507333	dELS	-1.0869	1.98E-02	Robust
chr17	80503980	80504330	EH38E4173383	TF	-1.1138	1.99E-02	Robust
chr19	55382004	55382354	EH38E4203059	TF	-1.1138	1.99E-02	Robust
chr2	11561587	11561918	EH38E3325388	pELS	-1.1138	1.99E-02	Robust
chr20	31968403	31968749	EH38E2106562	pELS	-1.1138	1.99E-02	Robust
chr22	40049070	40049225	EH38E3482600	dELS	-0.9782	1.99E-02	Robust
chr10	103872603	103872796	EH38E1496350	dELS	-1.0574	1.99E-02	Robust
chr1	209130967	209131212	EH38E1418157	dELS	-1.0297	1.99E-02	Robust
chr3	196324968	196325187	EH38E4323452	dELS	-1.1082	1.99E-02	Robust
chr10	88230293	88230627	EH38E4016484	CA-CTCF	-1.1630	1.99E-02	Robust
chr14	69963955	69964304	EH38E3102581	dELS	-1.1738	1.99E-02	Robust
chr20	37504132	37504336	EH38E4261040	dELS	-1.1738	1.99E-02	Robust
chr4	47621279	47621509	EH38E2295147	CA-CTCF	-0.9960	1.99E-02	Robust
chr15	58428147	58428329	EH38E3136555	dELS	-0.8394	1.99E-02	Robust
chr1	230414181	230414404	EH38E2872840	dELS	-1.0504	2.00E-02	Robust
chr20	44264371	44264637	EH38E3434138	CA-CTCF	-1.1209	2.00E-02	Robust
chr6	5624368	5624621	EH38E3688106	dELS	-1.0490	2.00E-02	Robust
chr1	201393149	201393322	EH38E1411621	dELS	-0.9433	2.00E-02	Robust
chr2	98529260	98529545	EH38E3359495	dELS	-1.1228	2.00E-02	Robust
chr16	77955209	77955452	EH38E1829246	dELS	-1.0820	2.00E-02	Robust
chr17	40645330	40645610	EH38E1862080	pELS	-1.0520	2.01E-02	Robust
chr17	47797019	47797206	EH38E4164297	CA	-1.0520	2.01E-02	Robust
chr2	95143868	95144208	EH38E4223211	TF	-1.0520	2.01E-02	Robust
chr9	4850345	4850500	EH38E3872711	PLS	-1.0520	2.01E-02	Robust
chr1	6107960	6108258	EH38E3953091	TF	-1.0520	2.01E-02	Robust
chr13	99072055	99072266	EH38E1692238	dELS	-1.0520	2.01E-02	Robust
chr2	41458118	41458414	EH38E1990981	dELS	-1.0520	2.01E-02	Robust
chr22	20921955	20922163	EH38E3468965	dELS	-1.0520	2.01E-02	Robust
chr3	119563369	119563699	EH38E4308734	TF	-1.0520	2.01E-02	Robust
chr8	125331391	125331572	EH38E3856936	dELS	-1.0520	2.01E-02	Robust
chr9	108849868	108850069	EH38E2716314	CA-CTCF	-1.0520	2.01E-02	Robust
chrX	129666911	129667187	EH38E2768053	dELS	-1.0520	2.01E-02	Robust
chr7	3055732	3055925	EH38E4427087	dELS	-1.0642	2.01E-02	Robust
chr1	151171301	151171547	EH38E2837339	dELS	-0.9059	2.01E-02	Robust
chr3	55607222	55607571	EH38E2204370	dELS	-1.1693	2.01E-02	Robust
chr11	47609668	47610017	EH38E2957708	dELS	-1.1744	2.01E-02	Robust
chr4	189373806	189373984	EH38E3620828	dELS	-1.1401	2.01E-02	Robust
chr2	233207887	233208138	EH38E3407531	dELS	-1.1206	2.01E-02	Robust
chr11	45648710	45648928	EH38E2956267	dELS	-0.9835	2.01E-02	Robust
chr13	109293691	109293933	EH38E3080831	CA-H3K4me3	-1.1548	2.01E-02	Robust
chrX	108304732	108305011	EH38E2763583	dELS	-1.0067	2.02E-02	Robust
chr10	12966068	12966415	EH38E2886877	dELS	-1.1546	2.02E-02	Robust
chr2	164674626	164674889	EH38E3381964	CA-H3K4me3	-1.1546	2.02E-02	Robust
chr5	1545104	1545328	EH38E3622856	dELS	-1.1546	2.02E-02	Robust
chr11	101830530	101830794	EH38E4047180	CA	-1.1309	2.02E-02	Robust
chrX	16305295	16305533	EH38E2744310	CA-CTCF	-1.1309	2.02E-02	Robust
chr5	178883795	178884145	EH38E4391225	TF	-1.1651	2.02E-02	Robust
chr2	124437860	124438141	EH38E4229161	CA-TF	-1.1829	2.02E-02	Robust
chr2	86271398	86271660	EH38E3356313	CA-H3K4me3	-1.1650	2.02E-02	Robust
chr6	99560695	99561045	EH38E3722671	dELS	-1.1650	2.02E-02	Robust
chr2	21046566	21046835	EH38E1979044	dELS	-1.1638	2.02E-02	Robust
chr9	16927482	16927801	EH38E4491735	CA	-1.0847	2.02E-02	Robust
chr22	41087796	41087973	EH38E3483294	dELS	-1.1585	2.02E-02	Robust
chr7	45224922	45225202	EH38E4435543	CA-TF	-1.0762	2.02E-02	Robust
chr2	53667280	53667451	EH38E4215677	TF	-1.0906	2.02E-02	Robust
chr15	79190920	79191215	EH38E3149203	dELS	-1.0012	2.02E-02	Robust
chr1	210923417	210923694	EH38E1419320	dELS	-1.0577	2.02E-02	Robust
chr1	40974963	40975297	EH38E1340586	dELS	-1.1825	2.02E-02	Robust
chr18	46497178	46497484	EH38E4182335	CA-TF	-1.1805	2.02E-02	Robust
chr7	35698463	35698659	EH38E2547934	dELS	-1.1125	2.02E-02	Robust
chr8	38229809	38229976	EH38E4466087	pELS	-1.1124	2.03E-02	Robust
chr19	5482072	5482260	EH38E4191298	CA-H3K4me3	-0.9447	2.03E-02	Robust
chr5	95180988	95181145	EH38E3649693	CA-CTCF	-0.8834	2.03E-02	Robust
chr19	5404079	5404419	EH38E4191262	CA-CTCF	-1.1519	2.03E-02	Robust
chr12	65520773	65520950	EH38E3024340	dELS	-0.9456	2.03E-02	Robust
chr14	90432105	90432359	EH38E4113125	TF	-1.0999	2.03E-02	Robust
chr2	99967767	99967968	EH38E2018727	dELS	-0.8203	2.03E-02	Robust
chr2	200036701	200036927	EH38E4243981	CA	-1.0615	2.03E-02	Robust
chr15	34076832	34077112	EH38E3126836	dELS	-1.0917	2.03E-02	Robust
chr12	91360276	91360429	EH38E4071548	TF	-1.0206	2.04E-02	Robust
chr11	132055343	132055655	EH38E1583604	dELS	-1.1706	2.04E-02	Robust
chr2	138043695	138043845	EH38E4232107	TF	-0.9497	2.04E-02	Robust
chr8	121191820	121192093	EH38E3854807	dELS	-1.1705	2.04E-02	Robust
chr9	120252322	120252566	EH38E4506318	CA-TF	-1.1396	2.04E-02	Robust
chr9	13031375	13031607	EH38E4491113	CA	-1.1658	2.04E-02	Robust
chr18	58139754	58139934	EH38E3271146	dELS	-0.9748	2.04E-02	Robust
chr14	75539229	75539433	EH38E3105495	dELS	-1.1394	2.04E-02	Robust
chr3	46505290	46505522	EH38E3510478	dELS	-0.9651	2.04E-02	Robust
chr18	24118254	24118411	EH38E3260556	dELS	-0.9882	2.04E-02	Robust
chr15	25697730	25697938	EH38E1748602	CA-CTCF	-1.0919	2.05E-02	Robust
chr2	200890683	200890888	EH38E3393820	pELS	-0.8898	2.05E-02	Robust
chr5	171611393	171611560	EH38E2431327	CA-CTCF	-1.0250	2.05E-02	Robust
chr7	149608236	149608456	EH38E4455341	CA-TF	-0.9654	2.05E-02	Robust
chr5	36205428	36205626	EH38E4365481	TF	-1.0092	2.05E-02	Robust
chr7	120456810	120456968	EH38E3796441	CA-CTCF	-0.9716	2.05E-02	Robust
chr9	98283803	98284098	EH38E4502036	TF	-1.0524	2.05E-02	Robust
chr14	22397220	22397544	EH38E1702138	dELS	-1.1461	2.06E-02	Robust
chr16	6562132	6562342	EH38E1799375	CA-CTCF	-1.0598	2.06E-02	Robust
chr7	134476163	134476353	EH38E2592791	dELS	-1.0652	2.06E-02	Robust
chr6	67160883	67161141	EH38E4406090	TF	-1.0681	2.06E-02	Robust
chr3	9667719	9667958	EH38E2177250	dELS	-0.9293	2.06E-02	Robust
chr11	35634057	35634378	EH38E4034208	CA	-1.1178	2.06E-02	Robust
chr3	104298774	104298959	EH38E4306138	CA	-1.1731	2.06E-02	Robust
chr1	224494452	224494626	EH38E2868969	dELS	-0.9770	2.06E-02	Robust
chr1	239828750	239828930	EH38E1436288	CA-H3K4me3	-0.9443	2.06E-02	Robust
chr6	155889818	155889982	EH38E2517859	dELS	-1.1730	2.06E-02	Robust
chr14	32007280	32007564	EH38E3089445	pELS	-1.1338	2.06E-02	Robust
chr16	67713934	67714276	EH38E1823223	dELS	-1.1338	2.06E-02	Robust
chr3	58354667	58354994	EH38E3517694	dELS	-1.1338	2.06E-02	Robust
chr7	100265527	100265750	EH38E3788812	dELS	-1.1338	2.06E-02	Robust
chr10	48827448	48827761	EH38E4008416	CA	-1.1336	2.07E-02	Robust
chr10	100727874	100728124	EH38E2920291	CA-H3K4me3	-1.1257	2.07E-02	Robust
chr16	81501267	81501616	EH38E4150033	dELS	-1.1259	2.07E-02	Robust
chr17	35841553	35841898	EH38E1858653	dELS	-1.1259	2.07E-02	Robust
chr3	11950601	11950950	EH38E3495887	dELS	-1.1259	2.07E-02	Robust
chr7	94877799	94878126	EH38E2572766	dELS	-1.1485	2.07E-02	Robust
chr10	98437644	98437820	EH38E2919418	CA-CTCF	-0.9145	2.07E-02	Robust
chr20	9444963	9445265	EH38E4255176	dELS	-1.1483	2.07E-02	Robust
chr5	55517846	55518180	EH38E3636962	dELS	-1.1483	2.07E-02	Robust
chr8	69898635	69898967	EH38E4471386	CA	-1.1483	2.07E-02	Robust
chr5	1796458	1796745	EH38E4358661	dELS	-1.1146	2.07E-02	Robust
chr14	97159239	97159452	EH38E4114602	CA	-1.0304	2.07E-02	Robust
chr5	54162288	54162545	EH38E3636375	dELS	-1.0992	2.07E-02	Robust
chr16	77379768	77380031	EH38E3191804	dELS	-1.1250	2.08E-02	Robust
chr1	26470793	26471132	EH38E2797008	pELS	-1.1361	2.08E-02	Robust
chr18	55605787	55606088	EH38E1918577	dELS	-1.0975	2.08E-02	Robust
chrX	137303489	137303762	EH38E4530714	CA	-1.1297	2.08E-02	Robust
chr4	25118151	25118498	EH38E2287043	dELS	-1.1280	2.08E-02	Robust
chr17	72346385	72346615	EH38E4170504	CA-TF	-1.0455	2.08E-02	Robust
chr6	44320249	44320470	EH38E4402540	CA	-0.8549	2.08E-02	Robust
chr7	20488934	20489139	EH38E3760898	CA-CTCF	-1.1738	2.09E-02	Robust
chr18	63488204	63488486	EH38E3273637	dELS	-1.1587	2.09E-02	Robust
chr10	115525835	115526174	EH38E1502221	dELS	-1.1737	2.09E-02	Robust
chr4	174404926	174405127	EH38E2345043	dELS	-1.1737	2.09E-02	Robust
chr6	18562174	18562375	EH38E4396036	CA	-1.1737	2.09E-02	Robust
chr7	131816475	131816762	EH38E4451490	dELS	-1.1737	2.09E-02	Robust
chr7	43265253	43265446	EH38E4435030	CA	-0.9710	2.09E-02	Robust
chr1	222143451	222143675	EH38E3993486	CA	-1.1745	2.09E-02	Robust
chr12	47713767	47713967	EH38E3014234	dELS	-0.9161	2.09E-02	Robust
chr19	49612159	49612509	EH38E3313480	dELS	-1.1543	2.09E-02	Robust
chr9	112528076	112528309	EH38E2718842	dELS	-0.9529	2.09E-02	Robust
chr5	122877110	122877349	EH38E3657119	dELS	-1.0597	2.09E-02	Robust
chr10	24459086	24459256	EH38E2891432	dELS	-0.9739	2.09E-02	Robust
chr11	132895387	132895723	EH38E1583965	dELS	-1.0630	2.09E-02	Robust
chr20	7608311	7608578	EH38E4254811	CA-TF	-1.0630	2.09E-02	Robust
chr4	43780175	43780470	EH38E2294350	CA-H3K4me3	-1.0630	2.09E-02	Robust
chr1	173646702	173647038	EH38E2848645	dELS	-1.1751	2.10E-02	Robust
chr2	231430297	231430470	EH38E4249962	TF	-1.1751	2.10E-02	Robust
chr2	224560665	224560854	EH38E4248636	TF	-0.8907	2.10E-02	Robust
chr4	80454737	80454946	EH38E2307118	dELS	-1.0263	2.10E-02	Robust
chr11	13770316	13770484	EH38E4030090	dELS	-1.0452	2.11E-02	Robust
chr19	56764621	56764915	EH38E4203322	TF	-1.1739	2.11E-02	Robust
chr2	240508991	240509169	EH38E4252408	TF	-1.1732	2.11E-02	Robust
chr1	215164703	215164923	EH38E1421832	CA-CTCF	-1.1419	2.11E-02	Robust
chr6	31009722	31010072	EH38E2458824	pELS	-1.1742	2.11E-02	Robust
chr6	133067965	133068285	EH38E3733430	dELS	-1.1742	2.11E-02	Robust
chr22	22566108	22566274	EH38E3470134	CA-CTCF	-1.0969	2.11E-02	Robust
chr20	13758295	13758477	EH38E2099049	dELS	-1.1039	2.12E-02	Robust
chr13	106221670	106221953	EH38E4097607	CA	-1.1728	2.12E-02	Robust
chr2	155363960	155364129	EH38E3378912	dELS	-1.1728	2.12E-02	Robust
chr15	23503035	23503378	EH38E3123264	dELS	-1.1680	2.12E-02	Robust
chr5	148377199	148377450	EH38E3668992	CA-CTCF	-1.0243	2.12E-02	Robust
chr3	16491263	16491419	EH38E4290224	dELS	-1.0269	2.12E-02	Robust
chr12	102354387	102354537	EH38E4073580	TF	-0.9732	2.12E-02	Robust
chr1	119737193	119737541	EH38E1381601	dELS	-1.1094	2.12E-02	Robust
chr13	102794539	102794696	EH38E4096891	dELS	-1.0465	2.12E-02	Robust
chr4	76534776	76534931	EH38E3589928	dELS	-0.8317	2.12E-02	Robust
chr3	124379570	124379769	EH38E3535740	CA-CTCF	-1.0732	2.12E-02	Robust
chr5	160697323	160697669	EH38E3675003	dELS	-1.1242	2.12E-02	Robust
chr2	168680347	168680598	EH38E2049494	dELS	-1.0966	2.12E-02	Robust
chr5	53929574	53929858	EH38E3636291	dELS	-1.1709	2.13E-02	Robust
chr8	69539889	69540192	EH38E3838934	CA-H3K4me3	-1.1466	2.13E-02	Robust
chr5	171380072	171380291	EH38E2431142	CA-CTCF	-1.1662	2.13E-02	Robust
chr16	26757145	26757306	EH38E4140196	TF	-1.1724	2.13E-02	Robust
chr9	120704306	120704479	EH38E3905390	dELS	-1.1242	2.13E-02	Robust
chr4	39170465	39170654	EH38E2291813	CA	-1.1401	2.13E-02	Robust
chr2	1459899	1460105	EH38E3319977	dELS	-1.1387	2.13E-02	Robust
chr11	103823821	103824008	EH38E1565819	dELS	-1.1567	2.13E-02	Robust
chr6	2816264	2816425	EH38E3686250	dELS	-1.1567	2.13E-02	Robust
chr1	4550041	4550205	EH38E3952569	CA-TF	-1.1176	2.13E-02	Robust
chrX	135407316	135407479	EH38E2770250	dELS	-0.9865	2.13E-02	Robust
chr6	20112903	20113217	EH38E2452119	dELS	-1.1581	2.13E-02	Robust
chr8	137785766	137786048	EH38E4486114	CA-H3K4me3	-1.1581	2.13E-02	Robust
chr2	2379780	2379932	EH38E3320596	CA-H3K4me3	-0.9923	2.14E-02	Robust
chr17	36697971	36698313	EH38E4160546	dELS	-1.0497	2.14E-02	Robust
chrX	120456065	120456237	EH38E3943358	dELS	-1.0448	2.14E-02	Robust
chr6	135849171	135849330	EH38E4418105	CA	-0.8515	2.14E-02	Robust
chr17	29358449	29358795	EH38E1854796	dELS	-1.1448	2.14E-02	Robust
chr2	45672169	45672519	EH38E4214135	TF	-1.1448	2.14E-02	Robust
chr7	41830811	41831152	EH38E2551503	dELS	-1.1448	2.14E-02	Robust
chr19	34122299	34122484	EH38E1950080	CA-CTCF	-1.0750	2.14E-02	Robust
chr8	118911581	118911824	EH38E3853855	dELS	-1.0212	2.14E-02	Robust
chr10	29786277	29786580	EH38E1458568	dELS	-1.1446	2.14E-02	Robust
chr8	69333996	69334332	EH38E3838853	dELS	-1.0504	2.15E-02	Robust
chr7	132270647	132270810	EH38E2591629	CA-H3K4me3	-1.1708	2.15E-02	Robust
chr7	158362985	158363302	EH38E4457985	CA-CTCF	-1.1708	2.15E-02	Robust
chr7	142150479	142150647	EH38E2597261	dELS	-1.0162	2.15E-02	Robust
chr8	141311411	141311566	EH38E4487203	dELS	-1.1707	2.15E-02	Robust
chr3	197795233	197795555	EH38E2273669	dELS	-1.1435	2.15E-02	Robust
chr2	46094808	46094975	EH38E1994582	dELS	-1.1597	2.15E-02	Robust
chr6	50257439	50257641	EH38E3711884	CA-CTCF	-1.0665	2.15E-02	Robust
chr11	27195093	27195260	EH38E2950225	dELS	-0.9425	2.15E-02	Robust
chr1	1493739	1493964	EH38E3951581	CA	-1.1351	2.15E-02	Robust
chr8	106158353	106158537	EH38E3850551	dELS	-1.1351	2.15E-02	Robust
chr7	100962380	100962657	EH38E4445188	TF	-1.1574	2.15E-02	Robust
chr14	63126916	63127225	EH38E4107818	CA	-1.1462	2.15E-02	Robust
chr5	161566104	161566442	EH38E4387323	CA	-1.1276	2.16E-02	Robust
chr3	157228953	157229171	EH38E3549609	CA-CTCF	-1.1165	2.16E-02	Robust
chr9	99471168	99471356	EH38E2712424	dELS	-0.9034	2.16E-02	Robust
chr2	185208317	185208612	EH38E3389125	CA-H3K4me3	-1.1697	2.16E-02	Robust
chr10	486299	486609	EH38E2880453	PLS	-1.1636	2.16E-02	Robust
chr7	77203002	77203196	EH38E3781494	dELS	-1.1546	2.16E-02	Robust
chr7	44785304	44785462	EH38E3771624	CA-H3K4me3	-0.9775	2.16E-02	Robust
chrX	3407217	3407418	EH38E2739937	dELS	-1.1559	2.16E-02	Robust
chr17	35186630	35186895	EH38E3219218	pELS	-1.1651	2.17E-02	Robust
chr15	27631608	27631920	EH38E4118218	dELS	-1.1339	2.17E-02	Robust
chr12	130262556	130262848	EH38E4080703	TF	-1.1477	2.17E-02	Robust
chr18	58839492	58839760	EH38E3271655	dELS	-1.1477	2.17E-02	Robust
chr3	38397417	38397765	EH38E4294438	CA-CTCF	-1.1477	2.17E-02	Robust
chr19	4020888	4021119	EH38E3284325	dELS	-1.1363	2.17E-02	Robust
chr17	75862498	75862840	EH38E3243968	dELS	-1.1660	2.17E-02	Robust
chr17	10031718	10031883	EH38E3208894	dELS	-0.9844	2.17E-02	Robust
chr20	61671565	61671766	EH38E4268326	TF	-1.1617	2.17E-02	Robust
chr3	35328795	35329061	EH38E4293892	CA	-1.1646	2.17E-02	Robust
chr6	79682737	79683006	EH38E4408319	TF	-1.0563	2.17E-02	Robust
chr9	113889027	113889332	EH38E4504968	CA	-1.1463	2.17E-02	Robust
chr10	113657619	113657886	EH38E1501031	dELS	-1.1492	2.17E-02	Robust
chr12	121816208	121816373	EH38E3046878	dELS	-0.8644	2.18E-02	Robust
chr1	204560622	204560961	EH38E1414632	pELS	-1.0153	2.18E-02	Robust
chr4	83333913	83334091	EH38E2308556	pELS	-1.0750	2.18E-02	Robust
chr6	161670245	161670589	EH38E4423541	dELS	-1.1534	2.18E-02	Robust
chr7	69835877	69836038	EH38E4439024	dELS	-0.9697	2.18E-02	Robust
chr5	136084070	136084344	EH38E4382163	dELS	-0.9331	2.18E-02	Robust
chr10	3652168	3652369	EH38E2882141	dELS	-1.0348	2.18E-02	Robust
chrX	23905964	23906119	EH38E3928519	pELS	-0.9060	2.18E-02	Robust
chr10	118151521	118151868	EH38E1503569	dELS	-1.1676	2.19E-02	Robust
chr1	18315493	18315843	EH38E3956494	TF	-1.1675	2.19E-02	Robust
chr1	182093836	182094124	EH38E2851843	dELS	-1.0568	2.19E-02	Robust
chr8	79291598	79291893	EH38E4472993	CA	-0.9814	2.19E-02	Robust
chr1	157096506	157096723	EH38E3980727	TF	-1.1160	2.19E-02	Robust
chr2	70094056	70094397	EH38E3350685	dELS	-1.1672	2.19E-02	Robust
chr22	40956554	40956741	EH38E4283372	dELS	-1.1381	2.19E-02	Robust
chr12	93029222	93029451	EH38E3032925	dELS	-1.1033	2.19E-02	Robust
chr3	138383887	138384237	EH38E3542589	dELS	-1.1645	2.19E-02	Robust
chr13	20429875	20430076	EH38E3054342	dELS	-0.8542	2.20E-02	Robust
chr16	10194066	10194220	EH38E3167438	CA-CTCF	-0.9062	2.20E-02	Robust
chr3	176669911	176670164	EH38E4319705	CA	-1.0877	2.20E-02	Robust
chr6	150245247	150245416	EH38E3740551	dELS	-0.8980	2.20E-02	Robust
chr1	151335297	151335473	EH38E2837447	dELS	-1.1224	2.20E-02	Robust
chr2	18540976	18541146	EH38E4208463	CA-CTCF	-1.1662	2.20E-02	Robust
chr10	5840987	5841328	EH38E4000596	dELS	-1.1648	2.20E-02	Robust
chr14	47211384	47211635	EH38E3093166	CA-CTCF	-1.0212	2.20E-02	Robust
chr19	277628	277826	EH38E1929840	dELS	-1.1093	2.20E-02	Robust
chr16	47448883	47449106	EH38E1813134	CA-TF	-0.9901	2.21E-02	Robust
chr17	6862752	6863086	EH38E4154682	dELS	-1.1276	2.21E-02	Robust
chr20	57012191	57012535	EH38E4266688	CA	-1.1276	2.21E-02	Robust
chr7	34188999	34189346	EH38E2547360	dELS	-1.1276	2.21E-02	Robust
chr7	34192907	34193256	EH38E4433250	CA	-1.1276	2.21E-02	Robust
chr16	65621192	65621515	EH38E3185421	dELS	-1.1339	2.21E-02	Robust
chr9	133218582	133218774	EH38E4509566	CA	-0.9657	2.21E-02	Robust
chr19	30968270	30968512	EH38E1948482	CA-CTCF	-0.9690	2.21E-02	Robust
chr15	66810171	66810336	EH38E3141255	pELS	-0.8297	2.22E-02	Robust
chr10	92063829	92064160	EH38E2916430	dELS	-1.1505	2.22E-02	Robust
chr5	78919921	78920112	EH38E2385273	dELS	-1.0311	2.22E-02	Robust
chr4	128459725	128459890	EH38E2326981	dELS	-0.8793	2.22E-02	Robust
chr9	27105818	27106021	EH38E4493371	CA-CTCF	-1.0483	2.22E-02	Robust
chr13	66952583	66952809	EH38E1680995	dELS	-1.0176	2.22E-02	Robust
chr6	41674217	41674516	EH38E3707746	dELS	-0.9873	2.23E-02	Robust
chr20	55889971	55890184	EH38E2123377	CA-CTCF	-1.0872	2.23E-02	Robust
chr1	22611492	22611831	EH38E3957776	dELS	-1.1451	2.23E-02	Robust
chr16	17317780	17317987	EH38E3171070	dELS	-1.0476	2.23E-02	Robust
chr3	171188677	171188908	EH38E3553220	dELS	-1.1627	2.23E-02	Robust
chr6	23164615	23164927	EH38E2454027	CA-H3K4me3	-1.1627	2.23E-02	Robust
chr7	20122123	20122455	EH38E2538242	pELS	-1.1627	2.23E-02	Robust
chr11	68694820	68695142	EH38E2967884	dELS	-1.1614	2.23E-02	Robust
chr5	14239300	14239646	EH38E3627017	dELS	-1.1625	2.23E-02	Robust
chrX	100368195	100368522	EH38E3939596	CA-H3K4me3	-1.1066	2.23E-02	Robust
chr16	61828866	61829067	EH38E1820439	dELS	-0.9049	2.23E-02	Robust
chr4	108606531	108606773	EH38E3599238	dELS	-1.1628	2.23E-02	Robust
chr15	76410199	76410436	EH38E4127477	CA	-1.1633	2.24E-02	Robust
chr12	53545312	53545464	EH38E4064246	dELS	-1.1561	2.24E-02	Robust
chr6	36493365	36493712	EH38E3704611	dELS	-1.1561	2.24E-02	Robust
chr8	128818941	128819237	EH38E3859594	dELS	-1.1561	2.24E-02	Robust
chr2	50181287	50181543	EH38E4215025	CA-TF	-1.1065	2.24E-02	Robust
chr5	68130820	68131058	EH38E4370271	dELS	-1.1065	2.24E-02	Robust
chr7	30718499	30718651	EH38E4432556	CA-TF	-1.0593	2.24E-02	Robust
chr13	32622900	32623243	EH38E3059600	dELS	-1.1626	2.24E-02	Robust
chrX	24587075	24587418	EH38E4516053	TF	-1.1609	2.24E-02	Robust
chr7	92847351	92847691	EH38E3785962	dELS	-1.0479	2.24E-02	Robust
chr9	131137793	131138041	EH38E4508982	dELS	-1.1027	2.24E-02	Robust
chr11	13006531	13006687	EH38E2945789	CA-CTCF	-0.8068	2.24E-02	Robust
chr13	34543962	34544112	EH38E3060316	CA-CTCF	-1.0542	2.24E-02	Robust
chr4	140998921	140999073	EH38E4349084	dELS	-1.0542	2.24E-02	Robust
chr19	29329485	29329826	EH38E4196113	CA-TF	-1.1382	2.24E-02	Robust
chr5	38183064	38183297	EH38E4365849	CA	-1.0770	2.24E-02	Robust
chr4	73104750	73104999	EH38E3588656	dELS	-1.0864	2.24E-02	Robust
chr1	26588845	26589106	EH38E3958865	TF	-1.1625	2.24E-02	Robust
chr12	43810281	43810546	EH38E3012738	dELS	-1.1250	2.24E-02	Robust
chr5	168394632	168394841	EH38E3676670	CA-CTCF	-1.1250	2.24E-02	Robust
chr2	121880326	121880619	EH38E3368989	dELS	-1.1249	2.24E-02	Robust
chr2	67777872	67778220	EH38E4218371	CA-TF	-1.1623	2.24E-02	Robust
chr4	65039108	65039377	EH38E4336411	CA	-1.1623	2.24E-02	Robust
chr7	29826977	29827217	EH38E4432396	CA-TF	-1.1623	2.24E-02	Robust
chr12	57581349	57581615	EH38E1616713	dELS	-0.9700	2.25E-02	Robust
chr10	72453970	72454204	EH38E2908072	dELS	-1.0264	2.25E-02	Robust
chr11	124677840	124678099	EH38E4051939	CA	-1.0264	2.25E-02	Robust
chr14	62674550	62674848	EH38E1720244	dELS	-1.0264	2.25E-02	Robust
chr15	30978325	30978657	EH38E3125464	dELS	-1.0264	2.25E-02	Robust
chr5	119063623	119063973	EH38E2402017	dELS	-1.0264	2.25E-02	Robust
chr8	116881124	116881399	EH38E3853016	dELS	-1.0264	2.25E-02	Robust
chr6	128645965	128646189	EH38E3731864	dELS	-1.1352	2.25E-02	Robust
chr3	107966349	107966687	EH38E3530086	dELS	-1.1471	2.25E-02	Robust
